City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rainfall in past hour (inches),Snowfall in past hour (inches)
0,Barrow,US,71.29,-156.79,32.0,96,90,8.05,fog,0.0,0.0
1,Talnakh,RU,69.49,88.4,62.6,48,81,11.18,broken clouds,0.0,0.0
2,Cape Town,ZA,-33.93,18.42,64.99,59,4,10.29,clear sky,0.0,0.0
3,Ushuaia,AR,-54.8,-68.3,33.8,86,90,4.7,moderate rain,0.0,0.0
4,Rikitea,PF,-23.12,-134.97,69.35,61,70,13.56,broken clouds,0.0,0.0
5,Fairbanks,US,64.84,-147.72,51.8,87,90,13.87,overcast clouds,0.0,0.0
6,Tasiilaq,GL,65.61,-37.64,44.6,70,75,2.24,broken clouds,0.0,0.0
7,Comodoro Rivadavia,AR,-45.87,-67.5,37.4,74,27,1.12,scattered clouds,0.0,0.0
8,Nikolskoye,RU,59.7,30.79,77.0,33,0,4.47,clear sky,0.0,0.0
9,Yellowknife,CA,62.46,-114.35,53.01,81,20,8.05,few clouds,0.0,0.0
10,Muros,ES,42.78,-9.06,75.0,68,1,10.0,clear sky,0.0,0.0
11,Punta Arenas,CL,-53.15,-70.92,39.2,86,98,9.17,overcast clouds,0.0,0.0
12,Kibre Mengist,ET,5.88,38.98,71.65,68,71,8.43,broken clouds,0.0,0.0
13,Belgrade,RS,44.8,20.47,69.8,77,75,9.17,broken clouds,0.0,0.0
14,Raciborz,PL,50.09,18.22,72.0,47,26,15.1,scattered clouds,0.0,0.0
15,Busselton,AU,-33.65,115.33,54.0,66,23,11.9,few clouds,0.0,0.0
16,Hobart,AU,-42.88,147.33,54.0,93,75,12.75,light rain,0.25,0.0
17,Linares,CL,-35.85,-71.6,46.09,92,99,8.1,light rain,0.43,0.0
18,Butaritari,KI,3.07,172.79,82.8,75,57,13.31,broken clouds,0.0,0.0
19,Kaitangata,NZ,-46.28,169.85,45.0,76,86,3.91,overcast clouds,0.0,0.0
20,Tiznit,MA,29.58,-9.5,78.91,53,56,8.19,broken clouds,0.0,0.0
21,Neenah,US,44.19,-88.46,59.0,100,75,8.05,broken clouds,0.0,0.0
22,Kudahuvadhoo,MV,2.67,72.89,83.97,78,3,11.45,light rain,0.17,0.0
23,Avera,US,33.19,-82.53,71.6,83,75,8.05,broken clouds,0.0,0.0
24,Chulym,RU,55.1,80.96,73.24,61,19,0.51,few clouds,0.0,0.0
25,Kashi,CN,39.45,75.98,87.8,14,40,17.9,scattered clouds,0.0,0.0
26,Cabo Rojo,PR,18.09,-67.15,84.99,70,18,1.01,few clouds,0.0,0.0
27,Yulara,AU,-25.24,130.99,50.0,34,0,5.82,clear sky,0.0,0.0
28,Sao Filipe,CV,14.9,-24.5,81.09,57,0,14.47,clear sky,0.0,0.0
29,Azanka,RU,58.04,64.79,61.05,57,69,9.6,broken clouds,0.0,0.0
30,El Playon,CO,7.47,-73.2,68.0,100,40,4.7,scattered clouds,0.0,0.0
31,Mataura,NZ,-46.19,168.86,39.0,83,68,3.0,broken clouds,0.0,0.0
32,Zabol,AF,32.25,67.25,96.73,9,0,14.65,clear sky,0.0,0.0
33,Ballina,AU,-28.87,153.57,53.01,62,0,9.17,clear sky,0.0,0.0
34,Dikson,RU,73.51,80.55,39.54,91,60,20.94,broken clouds,0.0,0.0
35,Gidam,IN,18.98,81.4,85.82,65,47,8.1,light rain,0.34,0.0
36,Auki,SB,-8.77,160.7,79.36,84,56,3.33,broken clouds,0.0,0.0
