City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
8,Nikolskoye,RU,77.0,59.7,30.79,Tourist House - Sablino
10,Muros,ES,75.0,42.78,-9.06,Apartment Av. Castelao
18,Butaritari,KI,82.8,3.07,172.79,Isles Sunset Lodge
20,Tiznit,MA,78.91,29.58,-9.5,
25,Kashi,CN,87.8,39.45,75.98,帕米尔青年旅舍
26,Cabo Rojo,PR,84.99,18.09,-67.15,Hotel Perichi's
28,Sao Filipe,CV,81.09,14.9,-24.5,Tortuga B&B
32,Zabol,AF,96.73,32.25,67.25,
36,Auki,SB,79.36,-8.77,160.7,Auki Motel
37,Miri,MY,84.2,4.41,114.01,"Mega Hotel, Miri"
38,Albany,US,75.0,42.6,-73.97,
40,Cholet,FR,79.0,47.17,-1.0,Chateau De La Moriniere
42,Kruisfontein,ZA,76.23,-34.0,24.73,Oyster Bay House Rental
43,Port Elizabeth,ZA,78.8,-33.92,25.57,39 On Nile Guest House
44,Abay,KZ,84.2,49.63,72.85,Guest House on Abaya 144
48,East London,ZA,82.4,-33.02,27.91,Tu Casa
49,Cururupu,BR,84.78,-1.83,-44.87,Pousada Través'cia
50,Svelvik,NO,78.01,59.61,10.41,Svelvik Romutleie
51,Yeniseysk,RU,77.99,58.45,92.17,"""Domino"""
52,Los Llanos De Aridane,ES,77.0,28.66,-17.92,Valle Aridane
53,Bambanglipuro,ID,78.51,-7.95,110.28,Puri Brata
55,Vila Do Maio,CV,84.2,15.13,-23.22,Residence 'I Delfini'
57,Katsuura,JP,75.99,35.13,140.3,Katsuura Hilltop Hotel & Residence
58,Greenville,US,77.0,35.61,-77.37,Holiday Inn Express Greenville
60,Tarakan,ID,83.64,3.3,117.63,Hotel D' CaLia Tarakan
67,Ruiz,MX,75.78,21.95,-105.15,Motel Dorado
68,Lena,ES,82.0,43.1,-5.73,
69,Antalaha,MG,78.57,-14.9,50.28,Hotel Vitasoa
71,Atuona,PF,78.66,-9.8,-139.03,Villa Enata
